arm,nll_per_call,af_mae,cohort_af_mae,genotype_proportion_tv,heterozygosity_mae,ld_r2_mae,local_dosage_covariance_mae
B0,0.19705978958840772,0.004377007206630542,0.020927930891054162,0.07523280837867367,0.0747411462184503,0.07665167976816759,0.008445661084157376
B1,0.1934567179609186,0.004430201631148536,0.018969090543190268,0.07623312842811579,0.07579488141616361,0.07659927705443402,0.008258810307442134
T,0.10735865400111319,0.004132224564346493,0.017543620737526553,0.015361600688658111,0.014622617562989043,0.037213693682086636,0.008129296212002748
T_superpop,0.11034113062186682,0.004175707143724271,0.017587489803210024,0.018090960258688237,0.017399543101830905,0.04038075135587339,0.008127065710012451
T_cohort,0.12239616446039618,0.00425075321980775,0.017868626737220915,0.028119323260972735,0.027493681782565033,0.04950955778030662,0.00816193376754641
B1_label_shuffle,0.19781631110384573,0.004428822107691121,,,0.07502245864188675,,
T_label_shuffle,0.1136551087812564,0.004141826047610114,,,0.015212832879010277,,
