arm,nll_per_call,af_mae,cohort_af_mae,genotype_proportion_tv,heterozygosity_mae,ld_r2_mae,local_dosage_covariance_mae
B0,0.19705978958840772,0.004377007206630542,0.020927930891054162,0.07523280837867367,0.0747411462184503,0.07665167976816759,0.008445661084157376
B1,0.19404096409640761,0.005064120250300735,0.019400258444233515,0.07559766474269129,0.07482656631093355,0.0760205689553346,0.008466442434639633
T,0.1076818582669974,0.0048456589155842,0.017963445853161918,0.015941883435785946,0.0148224829214996,0.03655902840620565,0.00836603258967451
T_superpop,0.110666474480888,0.004848362781560738,0.018031589063445017,0.018415313813996095,0.01725805917603823,0.03972543566390807,0.008345718032914177
T_cohort,0.12285213712787224,0.004840416726446016,0.018298187634925862,0.02794760018099348,0.026865060533489315,0.04888565336561055,0.008347618815713456
B1_label_shuffle,0.19779812917397818,0.004413647349659535,,,0.0748526117138096,,
T_label_shuffle,0.11364923024867714,0.004132334926223086,,,0.01515566542693492,,
