maf_bin,n_snps,af_mae_B0,af_mae_T,het_mae_B0,het_mae_T
"[0.01,0.05)",140,0.009230221969265793,0.009127774615822423,0.01851166761525327,0.01722538417757541
"[0.05,0.2)",122,0.02870485272026647,0.02869342302919469,0.10027431258572268,0.07528247665077396
"[0.2,0.5]",99,0.040470441466457396,0.04002776771701074,0.20167813594108414,0.12691456396635678
