arm,nll_per_call,af_mae,cohort_af_mae,genotype_proportion_tv,heterozygosity_mae,ld_r2_mae,local_dosage_covariance_mae
B0,0.19705978958840772,0.004444824579797156,0.0208479747399415,0.07521989603911225,0.07476354967939876,0.07675495095778719,0.008492341321856885
B1,0.19404096409640761,0.00511251393318692,0.01926370499691137,0.07561057708225272,0.07484742470560969,0.07619669534952547,0.00844479431842218
B2,0.15085860955119815,0.013293915749743408,0.02603999320931454,0.035968039200538565,0.032931432166072555,0.0626967169344378,0.015118532105647932
B3,0.14561240544511736,0.01370363421659622,0.024127254324622746,0.035358841641743285,0.03167496220105727,0.06038664511786555,0.013851449700331659
B2_order_shuffle,0.15520629357119486,0.013535332354791358,0.02643218219914896,0.036607034466014064,0.0334286124201256,0.0657870154450154,0.015443658588934164
B3_order_shuffle,0.15024745969913247,0.013950844820165322,0.024539267192487415,0.036231804085596675,0.032476189425124986,0.06376506797159281,0.014023684528461523
B1_label_shuffle,0.19779812917397818,0.0044668969551158256,,0.07533577600953527,0.07481983423646137,0.0768590052028721,0.008433633578434881
B3_label_shuffle,0.15180614661023756,0.013596031386917702,,0.03620752447274614,0.0330699363211972,0.06281637409385536,0.015302008544492731
