arm,stratum_type,stratum,n,value
B3,cohort,6,11,0.021254092168219593
B3,cohort,7,9,0.020560172360726374
B3,cohort,8,10,0.026537396121883657
B3,cohort,9,10,0.019868421052631577
B3,cohort,10,9,0.021029547553093258
B3,cohort,11,10,0.02223684210526316
B3,cohort,12,11,0.02754973558297658
B3,cohort,13,11,0.020171241500881388
B3,cohort,14,10,0.021108033240997227
B3,cohort,15,11,0.0203601108033241
B3,cohort,16,10,0.01953601108033241
B3,cohort,17,10,0.03222991689750693
B3,cohort,18,8,0.03576869806094183
B3,cohort,19,6,0.02446906740535549
B3,cohort,20,8,0.02385734072022161
B3,cohort,21,10,0.022860110803324105
B3,cohort,22,11,0.02541551246537396
B3,cohort,23,10,0.021101108033241
B3,cohort,24,11,0.018779904306220094
B3,cohort,25,11,0.027593805086879877
B3,maf_bin,0,140,0.009154809334092203
B3,maf_bin,1,122,0.014072398928874663
B3,maf_bin,2,99,0.01968187854642038
B3,distance_bin,0,104,0.13603836221750784
B3,distance_bin,1,148,0.07671307075997262
B3,distance_bin,2,202,0.049019194732737685
B3,distance_bin,3,573,0.04644621824945576
B2_order_shuffle,cohort,0,10,0.033601108033241
B2_order_shuffle,cohort,1,6,0.038204062788550326
B2_order_shuffle,cohort,2,9,0.025007694675284697
B2_order_shuffle,cohort,3,9,0.02592336103416435
B2_order_shuffle,cohort,4,10,0.018490304709141276
B2_order_shuffle,cohort,5,10,0.023414127423822716
B2_order_shuffle,cohort,6,11,0.026051372450264423
B2_order_shuffle,cohort,7,9,0.01990612496152662
B2_order_shuffle,cohort,8,10,0.032576177285318565
B2_order_shuffle,cohort,9,10,0.020124653739612187
B2_order_shuffle,cohort,10,9,0.02172976300400123
B2_order_shuffle,cohort,11,10,0.02371191135734072
B2_order_shuffle,cohort,12,11,0.03400277008310249
B2_order_shuffle,cohort,13,11,0.01965499874087132
B2_order_shuffle,cohort,14,10,0.02381578947368421
B2_order_shuffle,cohort,15,11,0.022664316293125156
B2_order_shuffle,cohort,16,10,0.023898891966759
B2_order_shuffle,cohort,17,10,0.033393351800554014
B2_order_shuffle,cohort,18,8,0.04052112188365651
B2_order_shuffle,cohort,19,6,0.025023084025854108
B2_order_shuffle,cohort,20,8,0.028540512465373966
B2_order_shuffle,cohort,21,10,0.02274930747922438
B2_order_shuffle,cohort,22,11,0.026926466884915633
B2_order_shuffle,cohort,23,10,0.023767313019390588
B2_order_shuffle,cohort,24,11,0.020712666834550496
B2_order_shuffle,cohort,25,11,0.03282548476454294
B2_order_shuffle,maf_bin,0,140,0.00928642572566875
B2_order_shuffle,maf_bin,1,122,0.014558977205930372
B2_order_shuffle,maf_bin,2,99,0.018282425852146966
B2_order_shuffle,distance_bin,0,104,0.15747253475257067
B2_order_shuffle,distance_bin,1,148,0.0842245633700814
B2_order_shuffle,distance_bin,2,202,0.05206733846442634
B2_order_shuffle,distance_bin,3,573,0.04922039005092027
B3_order_shuffle,cohort,0,10,0.03010387811634349
B3_order_shuffle,cohort,1,6,0.03875807940904894
B3_order_shuffle,cohort,2,9,0.0242305324715297
B3_order_shuffle,cohort,3,9,0.02279932286857494
B3_order_shuffle,cohort,4,10,0.01765235457063712
B3_order_shuffle,cohort,5,10,0.023698060941828254
B3_order_shuffle,cohort,6,11,0.02228657768823974
B3_order_shuffle,cohort,7,9,0.020752539242843947
B3_order_shuffle,cohort,8,10,0.02671052631578948
B3_order_shuffle,cohort,9,10,0.020602493074792245
B3_order_shuffle,cohort,10,9,0.021329639889196672
B3_order_shuffle,cohort,11,10,0.022583102493074794
B3_order_shuffle,cohort,12,11,0.028550742885922936
B3_order_shuffle,cohort,13,11,0.02064971040040292
B3_order_shuffle,cohort,14,10,0.02261080332409973
B3_order_shuffle,cohort,15,11,0.020108285066733823
B3_order_shuffle,cohort,16,10,0.0203393351800554
B3_order_shuffle,cohort,17,10,0.03058864265927978
B3_order_shuffle,cohort,18,8,0.03543109418282548
B3_order_shuffle,cohort,19,6,0.02643120960295476
B3_order_shuffle,cohort,20,8,0.024844182825484763
B3_order_shuffle,cohort,21,10,0.022797783933518008
B3_order_shuffle,cohort,22,11,0.026309493830269454
B3_order_shuffle,cohort,23,10,0.020477839335180055
B3_order_shuffle,cohort,24,11,0.020202719717955175
B3_order_shuffle,cohort,25,11,0.02717199697809116
B3_order_shuffle,maf_bin,0,140,0.00888232783153102
B3_order_shuffle,maf_bin,1,122,0.015442329044477827
B3_order_shuffle,maf_bin,2,99,0.019280453941808526
B3_order_shuffle,distance_bin,0,104,0.15465720340028805
B3_order_shuffle,distance_bin,1,148,0.08203664452065158
B3_order_shuffle,distance_bin,2,202,0.05071439327080593
B3_order_shuffle,distance_bin,3,573,0.047149467405648564
B1_label_shuffle,maf_bin,0,140,0.0032420318725099604
B1_label_shuffle,maf_bin,1,122,0.004208575533929855
B1_label_shuffle,maf_bin,2,99,0.006517364883898749
B1_label_shuffle,distance_bin,0,104,0.172308444394571
B1_label_shuffle,distance_bin,1,148,0.0993463364716953
B1_label_shuffle,distance_bin,2,202,0.0642553418088814
B1_label_shuffle,distance_bin,3,573,0.058169778853593916
B3_label_shuffle,maf_bin,0,140,0.009805776892430278
B3_label_shuffle,maf_bin,1,122,0.013300894781529618
B3_label_shuffle,maf_bin,2,99,0.019319690933236752
B3_label_shuffle,distance_bin,0,104,0.1406060135838615
B3_label_shuffle,distance_bin,1,148,0.0792959823207426
B3_label_shuffle,distance_bin,2,202,0.05095143237012471
B3_label_shuffle,distance_bin,3,573,0.04862372785241322
